Region,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
NCR,7.4,6.1,5.6,6.9,6.7,5.8,6.9,7.2,6.7,5.1
CAR,4.2,7.8,5.1,7.9,8.1,6.4,6.9,7.8,6.3,6.2
Region I,4.1,4.8,5.4,5.5,5.9,6.9,6.1,5.3,4.9,6.1
Region II,7.1,6.7,6.1,6.9,6.7,6.3,6.9,5.7,6.2,6.4
Region III,7.3,6.8,6.9,7.0,6.7,7.6,7.6,5.3,6.4,7.0
Region IV-A,5.3,5.5,5.4,6.5,5.9,4.5,5.4,7.0,5.3,4.7
Region IV-B,9.1,8.8,8.2,8.6,9.4,8.9,7.7,7.6,7.1,6.2
Region V,9.2,8.4,8.8,8.5,8.6,9.3,9.2,7.9,7.5,8.3
Region VI,8.9,7.1,7.4,7.1,7.5,7.4,7.7,6.8,5.5,6.8
Region VII,10.4,9.0,8.4,8.5,7.8,8.1,8.3,6.9,7.9,6.1
Region VIII,10.2,9.8,9.6,9.9,9.9,11.0,9.8,8.6,10.1,8.3
Region IX,9.5,10.1,10.5,10.0,10.1,9.8,12.0,11.2,7.9,7.4
Region X,10.7,9.0,9.8,11.2,6.0,11.8,8.8,10.2,6.3,8.0
Region XI,12.1,8.9,8.5,10.3,9.2,9.3,8.7,8.9,6.4,7.2
Region XII,10.4,9.1,10.2,8.1,8.7,9.6,9.3,8.4,4.9,8.2
Caraga,10.0,8.8,8.7,9.8,9.3,10.1,10.4,8.9,7.5,8.3
ARMM,24.8,9.3,10.8,11.4,11.2,12.3,18.3,15.3,19.2,9.6
